NOME,PREÇO,LINK
Console Valve Steam Deck OLED 512GB Standard cor preto 2024,R$6.0260,https://www.mercadolivre.com.br/console-valve-steam-deck-oled-512gb-standard-cor-preto-2024/p/MLB31047920#polycard_client=search-nordic&searchVariation=MLB31047920&wid=MLB3745580735&position=10&search_layout=grid&type=product&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7&sid=search
Consola De Jogos Portátil Valve Steam Dec Usb 256gb,R$4.1360,https://produto.mercadolivre.com.br/MLB-3750050761-consola-de-jogos-portatil-valve-steam-dec-usb-256gb-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
Valve Steam Deck Oled 1TB Cor Preto,R$6.7000,https://www.mercadolivre.com.br/valve-steam-deck-oled-1tb-cor-preto/p/MLB29805587#polycard_client=search-nordic&searchVariation=MLB29805587&wid=MLB3584640941&position=9&search_layout=grid&type=product&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7&sid=search
Console Valve Steam Deck Oled 512gb Novo Lacrado Pronta Entrega Receba Hoje Em Sp,R$6.9790,https://produto.mercadolivre.com.br/MLB-5138100558-console-valve-steam-deck-oled-512gb-novo-lacrado-pronta-entrega-receba-hoje-em-sp-_JM?searchVariation=182018592530#polycard_client=search-nordic&searchVariation=182018592530&position=30&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
Console Valve Steam Deck 2tb Standard + Dualboot Com Windows Cor Preto,R$6.3890,https://www.mercadolivre.com.br/console-valve-steam-deck-2tb-standard-dualboot-com-windows-cor-preto/p/MLB24836531#polycard_client=search-nordic&searchVariation=MLB24836531&wid=MLB4011602669&position=21&search_layout=grid&type=product&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7&sid=search
Console Portátil Valve Steam Deck Oled 1tb 16gb Ram Tela 7.4 - Branco,R$8.9990,https://www.mercadolivre.com.br/console-portatil-valve-steam-deck-oled-1tb-16gb-ram-tela-74-branco/p/MLB45727129#polycard_client=search-nordic&searchVariation=MLB45727129&wid=MLB5306577300&position=12&search_layout=grid&type=product&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7&sid=search
Console Valve Steam Deck Oled 1tb Novo Pronta Entrega,R$6.9990,https://produto.mercadolivre.com.br/MLB-3584669007-console-valve-steam-deck-oled-1tb-novo-pronta-entrega-_JM?searchVariation=179799002658#polycard_client=search-nordic&searchVariation=179799002658&position=31&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
Console Valve Steam Deck Oled 512gb Novo Lacrado Pronta Entrega Receba Hoje Em Sp,R$6.6490,https://produto.mercadolivre.com.br/MLB-3887911387-console-valve-steam-deck-oled-512gb-novo-lacrado-pronta-entrega-receba-hoje-em-sp-_JM?searchVariation=182018549196#polycard_client=search-nordic&searchVariation=182018549196&position=32&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
Console Portátil Valve Steam Deck Oled 1tb 16gb Ram Tela 7.4 - Branco,R$8.9990,https://produto.mercadolivre.com.br/MLB-5220858022-console-portatil-valve-steam-deck-oled-1tb-16gb-ram-tela-74-branco-_JM?searchVariation=182531102840#polycard_client=search-nordic&searchVariation=182531102840&position=34&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
Steam Deck 256gb Valve,R$4.2890,https://www.mercadolivre.com.br/steam-deck-256gb-valve/p/MLB21356977#polycard_client=search-nordic&searchVariation=MLB21356977&wid=MLB4018130665&position=26&search_layout=grid&type=product&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7&sid=search
Proteção Para Steam Deck Game Console Kit Stickers Dust,R$106.0000,https://produto.mercadolivre.com.br/MLB-2827692333-proteco-para-steam-deck-game-console-kit-stickers-dust-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
Proteção Para Steam Deck Game Console Kit Stickers Dust,R$36.0000,https://produto.mercadolivre.com.br/MLB-3085742613-proteco-para-steam-deck-game-console-kit-stickers-dust-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=1d4a18a4-a700-42e6-9b38-3dda8606f7e7
